Addendum AA -- ASC Covered Surgical Procedures for CY 2025                                                                                                                            (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2024 American Dental Association.ÿ All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting,January 2025 Payment Indicator,January 2025  Payment Weight  ,January 2025 Payment Rate 
0101T,,Esw muscskel sys nos,Y,R2,2.3486,$128.93
0102T,,Esw phy anes lat hmrl epcndl,Y,G2,28.767,"$1,579.16"
0200T,,Perq sacral augmt unilat inj,Y,J8,83.6109,"$4,589.82"
0201T,,Perq sacral augmt bilat inj,Y,G2,63.9555,"$3,510.84"
0213T,,Njx paravert w/us cer/thor,Y,R2,8.7064,$477.94
0214T,,Njx paravert w/us cer/thor,N,N1,,
0215T,,Njx paravert w/us cer/thor,N,N1,,
0216T,,Njx paravert w/us lumb/sac,Y,R2,8.7064,$477.94
0217T,,Njx paravert w/us lumb/sac,N,N1,,
0218T,,Njx paravert w/us lumb/sac,N,N1,,
0232T,,Njx platelet plasma,N,N1,,
0238T,,Trluml perip athrc iliac art,Y,J8,210.0781,"$11,532.24"
0253T,,Insert aqueous drain device,Y,J8,53.7739,"$2,951.92"
0263T,,Im b1 mrw cel ther cmpl,N,G2,45.82,"$2,515.29"
0264T,,Im b1 mrw cel ther xcl hrvst,N,G2,45.82,"$2,515.29"
0265T,,Im b1 mrw cel ther hrvst onl,N,G2,45.82,"$2,515.29"
0266T,,Implt/rpl crtd sns dev total,N,J8,768.8777,"$42,207.54"
0268T,,Implt/rpl crtd sns dev gen,N,J8,483.0475,"$26,516.89"
0269T,,Rev/remvl crtd sns dev total,N,G2,56.2824,"$3,089.62"
0270T,,Rev/remvl crtd sns dev lead,Y,G2,35.419,"$1,944.33"
0271T,,Rev/remvl crtd sns dev gen,Y,G2,35.419,"$1,944.33"
0274T,,Perq lamot/lam crv/thrc,Y,G2,63.9555,"$3,510.84"
0275T,,Perq lamot/lam lumbar,Y,J8,96.2361,"$5,282.88"
0278T,,Tempr,N,N1,,
0308T,,Insj ocular telescope prosth,Y,J8,207.1238,"$11,370.06"
0330T,,Tear film img uni/bi w/i&r,N,N1,,
0335T,,Insj sinus tarsi implant,Y,J8,101.0092,"$5,544.90"
0338T,,Trnscth renal symp denrv unl,N,G2,47.9028,"$2,629.62"
0339T,,Trnscth renal symp denrv bil,N,J8,68.1381,"$3,740.44"
0342T,,Thxp apheresis w/hdl delip,N,G2,45.82,"$2,515.29"
0347T,,Ins bone device for rsa,N,N1,,
0348T,,Rsa spine exam,N,N1,,
0349T,,Rsa upper extr exam,N,N1,,
0350T,,Rsa lower extr exam,N,N1,,
0351T,,Intraop oct brst/node spec,N,N1,,
0353T,,Intraop oct breast cavity,N,N1,,
0379T,,Vis field assmnt tech suppt,N,N1,,
0397T,,Ercp w/optical endomicroscpy,N,N1,,
0402T,,Colgn crs-link crn&pachymtry,Y,R2,18.6903,"$1,026.00"
0408T,,Insj/rplc cardiac modulj sys,Y,J8,473.3719,"$25,985.75"
0409T,,Insj/rplc car modulj pls gn,Y,J8,383.9791,"$21,078.53"
0410T,,Insj/rplc car modulj atr elt,Y,J8,127.4683,"$6,997.37"
