Addendum BB -- ASC Covered Ancillary Services Integral to Covered Surgical Procedures for CY 2025 (Including Ancillary Services for Which Payment is Packaged),,,,,,,
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2024 American Dental Association.ÿ All Rights Reserved.,,,,,,,
,,,,,,,
HCPCS Code,,Short Descriptor,Drug and Device Pass-Through Expiration during Calendar Year,January 2025 Payment Indicator,January 2025 Payment Weight  ,January 2025 Payment Rate ,January 2025 IRA-22 Adjusted Copayment1
0331T,,Heart symp image plnr,,Z2,12.983,$712.70,
0332T,,Heart symp image plnr spect,,Z2,12.983,$712.70,
0394T,,Hdr elctrnc skn surf brchytx,,Z2,2.5722,$141.20,
0395T,,Hdr elctr ntrst/ntrcv brchtx,,Z2,6.8543,$376.27,
0422T,,Tactile breast img uni/bi,,Z2,0.8852,$48.59,
0598T,,Ncntc r-t fluor wnd img 1st,,Z2,3.0278,$166.21,
0599T,,Ncntc r-t fluor wnd img ea,,N1,,,
0609T,,Mrs disc pain acquisj data,,Z2,2.3732,$130.28,
0611T,,Mrs disc pain alg alys data,,Z2,2.3732,$130.28,
0633T,,Ct breast w/3d uni c-,,Z2,1.033,$56.71,
0634T,,Ct breast w/3d uni c+,,Z2,1.7618,$96.71,
0635T,,Ct breast w/3d uni c-/c+,,Z2,1.7618,$96.71,
0636T,,Ct breast w/3d bi c-,,Z2,2.3732,$130.28,
0637T,,Ct breast w/3d bi c+,,Z2,3.511,$192.74,
0638T,,Ct breast w/3d bi c-/c+,,Z2,3.511,$192.74,
0648T,,Quan mr tis wo mri 1orgn,,Z2,9.2951,$510.25,
0689T,,Quan us tis charac w/o dx us,,Z2,0.8852,$48.59,
0697T,,Quan mr tis wo mri mlt orgn,,Z2,9.2951,$510.25,
0698T,,Quan mr tiss w/mri mlt orgn,,Z2,9.2951,$510.25,
0870T,,Imp subq prtl ascts pmp sys,,K5,,,
0871T,,Rplcmt subq prtl ascites pmp,,K5,,,
0872T,,Rplcmt ndwllg bldr&prtl cath,,K5,,,
0873T,,Revj subq prtl asct pmp sys,,K5,,,
0874T,,Rmvl pertl ascites pmp sys,,K5,,,
0875T,,Prgrm subq prtl asct pmp sys,,K5,,,
0882T,,Intraop ther estim pn ue 1st,,N1,,,
0883T,,Intraop ther estim pn ue ea,,N1,,,
0887T,,End-tidal ctrl inhaled anes,,N1,,,
0946T,,Ortho impl mvmt alys pair ct,,Z2,1.033,$56.71,
70010,,Contrast x-ray of brain,,N1,,,
70015,,Contrast x-ray of brain,,N1,,,
70030,,X-ray eye for foreign body,,N1,,,
70100,,X-ray exam of jaw <4views,,N1,,,
70110,,X-ray exam of jaw 4/> views,,N1,,,
70120,,X-ray exam of mastoids,,N1,,,
70130,,X-ray exam of mastoids,,N1,,,
70134,,X-ray exam of middle ear,,N1,,,
70140,,X-ray exam of facial bones,,N1,,,
70150,,X-ray exam of facial bones,,N1,,,
70160,,X-ray exam of nasal bones,,N1,,,
70170,,X-ray exam of tear duct,,N1,,,
70190,,X-ray exam of eye sockets,,N1,,,
70200,,X-ray exam of eye sockets,,N1,,,
70210,,X-ray exam of sinuses,,N1,,,
70220,,X-ray exam of sinuses,,N1,,,
70240,,X-ray exam pituitary saddle,,N1,,,
70250,,X-ray exam of skull,,N1,,,
70260,,X-ray exam of skull,,N1,,,
70300,,X-ray exam of teeth,,N1,,,
70310,,X-ray exam of teeth,,N1,,,
70320,,Full mouth x-ray of teeth,,N1,,,
70328,,X-ray exam of jaw joint,,N1,,,
70330,,X-ray exam of jaw joints,,N1,,,
70332,,X-ray exam of jaw joint,,N1,,,
70336,,Magnetic image jaw joint,,Z2,2.3732,$130.28,
70350,,X-ray head for orthodontia,,N1,,,
70355,,Panoramic x-ray of jaws,,N1,,,
70360,,X-ray exam of neck,,N1,,,
70370,,Throat x-ray & fluoroscopy,,N1,,,
70371,,Speech evaluation complex,,N1,,,
