STATE	DMEPOS RURAL ZIP CODE	YEAR/QTR
MA	01223	202501
MA	02535	202501
MA	02539	202501
MA	02552	202501
MA	02554	202501
MA	02557	202501
MA	02564	202501
MA	02568	202501
MA	02575	202501
MA	02584	202501
MA	02713	202501
NH	03046	202501
NH	03106	202501
NH	03215	202501
NH	03216	202501
NH	03217	202501
NH	03218	202501
NH	03220	202501
NH	03221	202501
NH	03222	202501
NH	03223	202501
NH	03224	202501
NH	03225	202501
NH	03226	202501
NH	03227	202501
NH	03229	202501
NH	03230	202501
NH	03231	202501
NH	03233	202501
NH	03234	202501
NH	03235	202501
NH	03237	202501
NH	03238	202501
NH	03240	202501
NH	03241	202501
NH	03242	202501
NH	03243	202501
NH	03245	202501
NH	03246	202501
NH	03247	202501
NH	03249	202501
NH	03251	202501
NH	03252	202501
NH	03253	202501
NH	03254	202501
NH	03255	202501
NH	03256	202501
NH	03257	202501
NH	03258	202501
NH	03259	202501
NH	03260	202501
NH	03262	202501
NH	03263	202501
NH	03264	202501
NH	03266	202501
NH	03268	202501
NH	03269	202501
NH	03272	202501
NH	03273	202501
NH	03275	202501
NH	03276	202501
NH	03278	202501
NH	03279	202501
NH	03280	202501
NH	03282	202501
NH	03284	202501
NH	03285	202501
NH	03287	202501
NH	03289	202501
NH	03293	202501
NH	03298	202501
NH	03299	202501
NH	03301	202501
NH	03302	202501
NH	03303	202501
NH	03304	202501
NH	03305	202501
NH	03307	202501
NH	03431	202501
NH	03435	202501
NH	03441	202501
NH	03443	202501
NH	03444	202501
NH	03445	202501
NH	03446	202501
NH	03447	202501
NH	03448	202501
NH	03450	202501
NH	03451	202501
NH	03452	202501
NH	03455	202501
NH	03456	202501
NH	03457	202501
NH	03461	202501
NH	03462	202501
NH	03464	202501
NH	03465	202501
NH	03466	202501
NH	03467	202501
NH	03469	202501
NH	03470	202501
NH	03561	202501
NH	03570	202501
NH	03574	202501
NH	03575	202501
NH	03576	202501
NH	03579	202501
NH	03580	202501
NH	03581	202501
NH	03582	202501
NH	03583	202501
NH	03584	202501
NH	03585	202501
NH	03586	202501
NH	03588	202501
NH	03589	202501
NH	03590	202501
NH	03592	202501
NH	03593	202501
NH	03595	202501
NH	03597	202501
NH	03598	202501
NH	03601	202501
NH	03602	202501
NH	03603	202501
NH	03604	202501
NH	03605	202501
NH	03607	202501
NH	03608	202501
NH	03609	202501
NH	03740	202501
NH	03741	202501
NH	03743	202501
NH	03745	202501
NH	03746	202501
NH	03748	202501
NH	03749	202501
NH	03750	202501
NH	03751	202501
NH	03752	202501
NH	03753	202501
NH	03754	202501
NH	03755	202501
NH	03756	202501
NH	03765	202501
NH	03766	202501
NH	03768	202501
NH	03769	202501
NH	03770	202501
NH	03771	202501
NH	03773	202501
NH	03774	202501
NH	03777	202501
NH	03779	202501
NH	03780	202501
NH	03781	202501
NH	03782	202501
NH	03784	202501
NH	03785	202501
NH	03809	202501
NH	03810	202501
NH	03812	202501
NH	03813	202501
NH	03814	202501
NH	03816	202501
NH	03817	202501
NH	03818	202501
NH	03830	202501
NH	03832	202501
NH	03836	202501
NH	03837	202501
NH	03838	202501
NH	03845	202501
NH	03846	202501
NH	03847	202501
NH	03849	202501
NH	03850	202501
NH	03853	202501
NH	03860	202501
NH	03864	202501
NH	03872	202501
NH	03875	202501
NH	03882	202501
NH	03883	202501
NH	03886	202501
NH	03890	202501
NH	03894	202501
NH	03896	202501
NH	03897	202501
ME	04010	202501
ME	04016	202501
ME	04022	202501
ME	04037	202501
ME	04041	202501
ME	04051	202501
ME	04068	202501
ME	04088	202501
ME	04216	202501
ME	04217	202501
ME	04219	202501
ME	04220	202501
ME	04221	202501
ME	04224	202501
ME	04225	202501
ME	04226	202501
ME	04227	202501
ME	04231	202501
ME	04234	202501
ME	04237	202501
ME	04238	202501
ME	04239	202501
ME	04255	202501
ME	04257	202501
ME	04259	202501
ME	04261	202501
ME	04262	202501
ME	04265	202501
ME	04267	202501
ME	04268	202501
ME	04270	202501
ME	04271	202501
ME	04275	202501
ME	04276	202501
ME	04281	202501
ME	04284	202501
ME	04285	202501
ME	04286	202501
ME	04289	202501
ME	04290	202501
ME	04292	202501
ME	04294	202501
ME	04330	202501
ME	04332	202501
ME	04333	202501
ME	04336	202501
ME	04338	202501
ME	04341	202501
ME	04342	202501
ME	04343	202501
ME	04344	202501
ME	04345	202501
ME	04346	202501
ME	04347	202501
ME	04348	202501
ME	04349	202501
ME	04350	202501
ME	04351	202501
ME	04352	202501
ME	04353	202501
ME	04354	202501
ME	04355	202501
ME	04358	202501
ME	04359	202501
ME	04360	202501
ME	04363	202501
ME	04364	202501
ME	04406	202501
ME	04408	202501
ME	04413	202501
ME	04414	202501
ME	04415	202501
ME	04416	202501
ME	04420	202501
ME	04421	202501
ME	04424	202501
ME	04426	202501
ME	04431	202501
ME	04438	202501
ME	04441	202501
ME	04442	202501
ME	04443	202501
ME	04451	202501
ME	04454	202501
ME	04462	202501
ME	04463	202501
ME	04464	202501
ME	04471	202501
ME	04472	202501
ME	04476	202501
ME	04478	202501
ME	04479	202501
ME	04481	202501
ME	04485	202501
ME	04490	202501
ME	04491	202501
ME	04492	202501
ME	04496	202501
ME	04497	202501
ME	04535	202501
ME	04537	202501
ME	04538	202501
ME	04539	202501
ME	04541	202501
ME	04543	202501
ME	04544	202501
ME	04547	202501
ME	04549	202501
ME	04551	202501
ME	04553	202501
ME	04554	202501
ME	04555	202501
ME	04556	202501
ME	04558	202501
ME	04563	202501
ME	04564	202501
ME	04568	202501
ME	04570	202501
ME	04571	202501
ME	04572	202501
ME	04573	202501
ME	04574	202501
ME	04575	202501
ME	04576	202501
ME	04578	202501
ME	04605	202501
ME	04606	202501
ME	04607	202501
ME	04609	202501
ME	04611	202501
ME	04612	202501
ME	04613	202501
ME	04614	202501
ME	04616	202501
ME	04617	202501
ME	04619	202501
ME	04622	202501
ME	04623	202501
ME	04624	202501
ME	04625	202501
ME	04626	202501
ME	04627	202501
ME	04628	202501
ME	04629	202501
ME	04630	202501
ME	04631	202501
ME	04634	202501
ME	04635	202501
ME	04637	202501
ME	04640	202501
ME	04642	202501
ME	04643	202501
ME	04644	202501
ME	04645	202501
ME	04646	202501
