"Durable Medical Equipment,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-continental areas ***,,,,
"Prosthetics, Orthotics, and Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Not subject to ceiling and floor),,,,
(DMEPOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2025 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
A4216,,,J,OS,0.62,0.53,0.57,0.00,0.62,0.00,0.61,0.00,0.62,0.00,0.62,0.00,0.62,0.00,0.62,0.00,0.62,0.00,0.57,0.00,0.62,0.00,0.62,0.00,0.53,0.00,0.53,0.00,0.62,0.00,0.53,0.00,0.53,0.00,0.62,0.00,0.62,0.00,0.61,0.00,0.62,0.00,0.62,0.00,0.62,0.00,0.62,0.00,0.62,0.00,0.62,0.00,0.53,0.00,0.57,0.00,0.61,0.00,0.62,0.00,0.62,0.00,0.62,0.00,0.62,0.00,0.54,0.00,0.53,0.00,0.53,0.00,0.53,0.00,0.62,0.00,0.53,0.00,0.62,0.00,0.53,0.00,0.53,0.00,0.53,0.00,0.62,0.00,0.57,0.00,0.62,0.00,0.53,0.00,0.62,0.00,0.57,0.00,0.62,0.00,0.97,0.00,0.95,0.00,0.52,0.00,0.54,0.00,"Sterile water/saline, 10 ml"
A4217,,,J,SU,4.38,3.72,3.72,0.00,4.38,0.00,4.38,0.00,3.72,0.00,4.38,0.00,4.38,0.00,3.90,0.00,4.38,0.00,4.38,0.00,4.38,0.00,4.38,0.00,3.72,0.00,4.38,0.00,4.38,0.00,3.72,0.00,3.72,0.00,4.38,0.00,3.72,0.00,4.38,0.00,3.72,0.00,4.38,0.00,4.38,0.00,3.72,0.00,3.95,0.00,3.72,0.00,3.72,0.00,4.22,0.00,3.80,0.00,3.72,0.00,4.38,0.00,4.38,0.00,3.72,0.00,3.72,0.00,4.38,0.00,3.78,0.00,4.38,0.00,4.38,0.00,3.72,0.00,3.72,0.00,4.38,0.00,3.72,0.00,4.38,0.00,3.72,0.00,3.96,0.00,4.28,0.00,4.38,0.00,4.38,0.00,4.38,0.00,4.38,0.00,2.14,0.00,3.78,0.00,4.83,0.00,3.72,0.00,"Sterile water/saline, 500 ml"
A4217,AU,,J,OS,4.38,3.72,3.72,0.00,4.38,0.00,4.38,0.00,3.72,0.00,4.38,0.00,4.38,0.00,3.90,0.00,4.38,0.00,4.38,0.00,4.38,0.00,4.38,0.00,3.72,0.00,4.38,0.00,4.38,0.00,3.72,0.00,3.72,0.00,4.38,0.00,3.72,0.00,4.38,0.00,3.72,0.00,4.38,0.00,4.38,0.00,3.72,0.00,3.95,0.00,3.72,0.00,3.72,0.00,4.22,0.00,3.80,0.00,3.72,0.00,4.38,0.00,4.38,0.00,3.72,0.00,3.72,0.00,4.38,0.00,3.78,0.00,4.38,0.00,4.38,0.00,3.72,0.00,3.72,0.00,4.38,0.00,3.72,0.00,4.38,0.00,3.72,0.00,3.96,0.00,4.28,0.00,4.38,0.00,4.38,0.00,4.38,0.00,4.38,0.00,2.14,0.00,3.78,0.00,4.83,0.00,3.72,0.00,"Sterile water/saline, 500 ml"
A4221,,,D,SU,0.00,0.00,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.15,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.15,28.39,0.00,29.49,0.00,31.69,0.00,28.51,0.00,Supp non-insulin inf cath/wk
A4222,,,D,SU,0.00,0.00,47.78,56.54,47.78,56.54,47.78,54.74,47.78,54.74,47.78,56.54,47.78,56.54,47.78,55.29,47.78,56.54,47.78,55.29,47.78,56.54,47.78,54.74,47.78,54.74,47.78,55.29,47.78,56.54,47.78,54.74,47.78,56.54,47.78,56.54,47.78,56.54,47.78,55.29,47.78,56.54,47.78,56.54,47.78,56.54,47.78,54.74,47.78,56.54,47.78,54.74,47.78,56.23,47.78,54.74,47.78,54.74,47.78,56.54,47.78,56.54,47.78,56.54,47.78,54.74,47.78,56.54,47.78,55.29,47.78,56.54,47.78,54.74,47.78,56.54,47.78,56.54,47.78,56.54,47.78,54.74,47.78,56.54,47.78,55.29,47.78,54.74,47.78,55.29,47.78,56.54,47.78,54.74,47.78,56.54,47.78,55.29,47.78,54.74,55.23,0.00,57.42,0.00,61.77,0.00,56.73,0.00,Infusion supplies with pump
A4224,,,D,SU,0.00,0.00,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.15,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.15,25.19,28.41,25.19,28.41,25.19,28.15,28.39,0.00,29.49,0.00,31.69,0.00,28.51,0.00,Supply insulin inf cath/wk
A4225,,,D,SU,0.00,0.00,3.38,3.54,3.38,3.54,3.38,3.51,3.38,3.51,3.38,3.54,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.51,3.38,3.51,3.38,3.51,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.54,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.54,3.38,3.54,3.38,3.54,3.38,3.54,3.38,3.51,3.38,3.51,3.38,3.51,3.38,3.51,3.38,3.54,3.38,3.54,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.54,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.51,3.38,3.54,3.38,3.51,3.38,3.51,3.53,0.00,3.53,0.00,3.88,0.00,3.55,0.00,Sup/ext insulin inf pump syr
A4233,NU,,D,IN,0.00,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,Alkalin batt for glucose mon
A4234,NU,,D,IN,0.00,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,2.36,0.00,J-cell batt for glucose mon
A4235,NU,,D,IN,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,Lithium batt for glucose mon
