"Durable Medical Equipment,",,,,
"Prosthetics, Orthotics, and Supplies",,,,
(DMEPOS),,,,
January 2025 Former CBA ZIP Codes ,,,,
,,,,
CBA State,CBA ZIP Code,CBA Name Short,CBA Name,Year/Qtr
AL,35004,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35005,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35006,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35007,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35013,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35015,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35020,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35021,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35022,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35023,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35031,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35034,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35035,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35036,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35038,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35040,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35042,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35043,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35045,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35046,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35048,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35049,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35051,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35052,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35054,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35060,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35061,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35062,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35063,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35064,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35068,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35071,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35073,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35074,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35078,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35079,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35080,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35085,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35091,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35094,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35097,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35112,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35114,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35115,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35116,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35117,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35118,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35119,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35120,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35121,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35123,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35124,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35125,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35126,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35127,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35128,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35130,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35131,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35133,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35135,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35137,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35139,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35142,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35143,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35144,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35146,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35147,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35148,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35171,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35172,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35173,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35176,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35178,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35180,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35181,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35182,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35184,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35185,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35186,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35187,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35188,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35201,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35202,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35203,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35204,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35205,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35206,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35207,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35208,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35209,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35210,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35211,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35212,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35213,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35214,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35215,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35216,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35217,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35218,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35219,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35220,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35221,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35222,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35223,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35224,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35226,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35228,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35229,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35231,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35232,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35233,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35234,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35235,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35236,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35237,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35238,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35242,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35243,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35244,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35246,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35249,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35253,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35254,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35255,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35259,"Birmingham, AL","Birmingham-Hoover, AL",202501
