Contractor,Locality,Locality Name,National Anes CF of 20.3178
10112 ,00 ,ALABAMA,19.31 
02102 ,01 ,ALASKA*,27.86 
03102 ,00 ,ARIZONA,20.04 
07102 ,13 ,ARKANSAS,19.21 
01112 ,54 ,BAKERSFIELD,20.45 
01112 ,55 ,CHICO,20.27 
01182 ,71 ,EL CENTRO,20.28 
01112 ,56 ,FRESNO,20.27 
01112 ,57 ,HANFORD-CORCORAN,20.27 
01182 ,18 ,LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES/ORANGE CNTY),21.22 
01112 ,58 ,MADERA,20.27 
01112 ,59 ,MERCED,20.27 
01112 ,60 ,MODESTO,20.27 
01112 ,51 ,NAPA,21.64 
01182 ,17 ,OXNARD-THOUSAND OAKS-VENTURA,20.88 
01112 ,61 ,REDDING,20.27 
01112 ,62 ,RIVERSIDE-SAN BERNARDINO-ONTARIO,20.71 
01112 ,63 ,SACRAMENTO-ROSEVILLE-FOLSOM,20.79 
01112 ,64 ,SALINAS,20.84 
01182 ,72 ,SAN DIEGO-CHULA VISTA-CARLSBAD,20.83 
01112 ,05 ,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO/SAN MATEO/ALAMEDA/CONTRA COSTA CNTY),22.37 
01112 ,52 ,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY),22.41 
01112 ,65 ,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),22.77 
01182 ,73 ,SAN LUIS OBISPO-PASO ROBLES,20.40 
01112 ,09 ,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),22.58 
01112 ,66 ,SANTA CRUZ-WATSONVILLE,20.71 
01182 ,74 ,SANTA MARIA-SANTA BARBARA,20.67 
01112 ,67 ,SANTA ROSA-PETALUMA,20.94 
01112 ,68 ,STOCKTON,20.27 
01112 ,53 ,VALLEJO,21.57 
01112 ,69 ,VISALIA,20.27 
01112 ,70 ,YUBA CITY,20.27 
01112 ,75 ,REST OF CALIFORNIA,20.27 
04112 ,01 ,COLORADO,20.39 
13102 ,00 ,CONNECTICUT,21.24 
12202 ,01 ,DC + MD/VA SUBURBS,22.08 
12102 ,01 ,DELAWARE,20.36 
09102 ,03 ,FORT LAUDERDALE,21.33 
09102 ,04 ,MIAMI,22.39 
09102 ,99 ,REST OF FLORIDA,20.73 
10212 ,01 ,ATLANTA,20.48 
10212 ,99 ,REST OF GEORGIA,20.09 
01212 ,01 ,"HAWAII, GUAM",20.24 
02202 ,00 ,IDAHO,19.30 
06102 ,16 ,CHICAGO,21.85 
06102 ,12 ,EAST ST. LOUIS,21.08 
06102 ,15 ,SUBURBAN CHICAGO,21.32 
06102 ,99 ,REST OF ILLINOIS,20.52 
08102 ,00 ,INDIANA,19.37 
05102 ,00 ,IOWA,19.31 
05202 ,00 ,KANSAS,19.39 
15102 ,00 ,KENTUCKY,19.79 
07202 ,01 ,NEW ORLEANS,20.30 
