CMS SCHEDULE,YEAR,EFF_DATE,GEOGRAPHY,HCPCS,SHORTDESC,FILE_NAME,NF RATE,F RATE
5. ASC,2025,2025-01-01,NATIONAL,0101T,Esw muscskel sys nos,January_2025_ASC_Addenda.xlsx,128.93,128.93
5. ASC,2025,2025-01-01,NATIONAL,0102T,Esw phy anes lat hmrl epcndl,January_2025_ASC_Addenda.xlsx,1579.16,1579.16
5. ASC,2025,2025-01-01,NATIONAL,0200T,Perq sacral augmt unilat inj,January_2025_ASC_Addenda.xlsx,4589.82,4589.82
5. ASC,2025,2025-01-01,NATIONAL,0201T,Perq sacral augmt bilat inj,January_2025_ASC_Addenda.xlsx,3510.84,3510.84
5. ASC,2025,2025-01-01,NATIONAL,0213T,Njx paravert w/us cer/thor,January_2025_ASC_Addenda.xlsx,477.94,477.94
5. ASC,2025,2025-01-01,NATIONAL,0214T,Njx paravert w/us cer/thor,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0215T,Njx paravert w/us cer/thor,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0216T,Njx paravert w/us lumb/sac,January_2025_ASC_Addenda.xlsx,477.94,477.94
5. ASC,2025,2025-01-01,NATIONAL,0217T,Njx paravert w/us lumb/sac,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0218T,Njx paravert w/us lumb/sac,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0232T,Njx platelet plasma,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0238T,Trluml perip athrc iliac art,January_2025_ASC_Addenda.xlsx,11532.24,11532.24
5. ASC,2025,2025-01-01,NATIONAL,0253T,Insert aqueous drain device,January_2025_ASC_Addenda.xlsx,2951.92,2951.92
5. ASC,2025,2025-01-01,NATIONAL,0263T,Im b1 mrw cel ther cmpl,January_2025_ASC_Addenda.xlsx,2515.29,2515.29
5. ASC,2025,2025-01-01,NATIONAL,0264T,Im b1 mrw cel ther xcl hrvst,January_2025_ASC_Addenda.xlsx,2515.29,2515.29
5. ASC,2025,2025-01-01,NATIONAL,0265T,Im b1 mrw cel ther hrvst onl,January_2025_ASC_Addenda.xlsx,2515.29,2515.29
5. ASC,2025,2025-01-01,NATIONAL,0266T,Implt/rpl crtd sns dev total,January_2025_ASC_Addenda.xlsx,42207.54,42207.54
5. ASC,2025,2025-01-01,NATIONAL,0268T,Implt/rpl crtd sns dev gen,January_2025_ASC_Addenda.xlsx,26516.89,26516.89
5. ASC,2025,2025-01-01,NATIONAL,0269T,Rev/remvl crtd sns dev total,January_2025_ASC_Addenda.xlsx,3089.62,3089.62
5. ASC,2025,2025-01-01,NATIONAL,0270T,Rev/remvl crtd sns dev lead,January_2025_ASC_Addenda.xlsx,1944.33,1944.33
5. ASC,2025,2025-01-01,NATIONAL,0271T,Rev/remvl crtd sns dev gen,January_2025_ASC_Addenda.xlsx,1944.33,1944.33
5. ASC,2025,2025-01-01,NATIONAL,0274T,Perq lamot/lam crv/thrc,January_2025_ASC_Addenda.xlsx,3510.84,3510.84
5. ASC,2025,2025-01-01,NATIONAL,0275T,Perq lamot/lam lumbar,January_2025_ASC_Addenda.xlsx,5282.88,5282.88
5. ASC,2025,2025-01-01,NATIONAL,0278T,Tempr,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0308T,Insj ocular telescope prosth,January_2025_ASC_Addenda.xlsx,11370.06,11370.06
5. ASC,2025,2025-01-01,NATIONAL,0330T,Tear film img uni/bi w/i&r,January_2025_ASC_Addenda.xlsx,0.0,0.0
5. ASC,2025,2025-01-01,NATIONAL,0331T,Heart symp image plnr,January_2025_ASC_Addenda.xlsx,712.7,712.7
