CMS SCHEDULE,YEAR,EFF_DATE,GEOGRAPHY,HCPCS,SHORTDESC,FILE_NAME,NF RATE,F RATE
2. ASP,2025,2025-01-01,NATIONAL,90371,Hep b ig im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,146.312,146.312
2. ASP,2025,2025-01-01,NATIONAL,90375,Rabies ig im/sc,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,280.37,280.37
2. ASP,2025,2025-01-01,NATIONAL,90377,Rabies ig ht&sol human im/sc,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,250.524,250.524
2. ASP,2025,2025-01-01,NATIONAL,90586,Bcg vaccine intravesical,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,149.951,149.951
2. ASP,2025,2025-01-01,NATIONAL,90632,Hepa vaccine adult im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,71.608,71.608
2. ASP,2025,2025-01-01,NATIONAL,90653,Iiv adjuvant vaccine im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,83.49,83.49
2. ASP,2025,2025-01-01,NATIONAL,90656,IIV3 VACC NO PRSV 0.5 ML IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,22.35,22.35
2. ASP,2025,2025-01-01,NATIONAL,90657,IIV3 VACCINE SPLT 0.25 ML IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,10.929,10.929
2. ASP,2025,2025-01-01,NATIONAL,90658,IIV3 VACCINE SPLT 0.5 ML IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,21.858,21.858
2. ASP,2025,2025-01-01,NATIONAL,90660,LAIV3 Vaccine Intranasal ,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,28.871,28.871
2. ASP,2025,2025-01-01,NATIONAL,90661,CCIIV3 VACCINE NO PRSC 0.5ML IM,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,36.849,36.849
2. ASP,2025,2025-01-01,NATIONAL,90662,Iiv no prsv increased ag im,section 508 version of Jan 2025 ASP Pricing File updated 030725.csv,83.492,83.492
