CMS SCHEDULE,YEAR,EFF_DATE,HCPCS,MOD,SHORTDESC,GEOGRAPHY,FILE_NAME,NF RATE,F RATE
4. DME,2025,2025-01-01,A4216,,"Sterile water/saline, 10 ml",OR (NR),DMEPOS_JAN.csv,0.53,0.53
4. DME,2025,2025-01-01,A4217,,"Sterile water/saline, 500 ml",OR (NR),DMEPOS_JAN.csv,4.38,4.38
4. DME,2025,2025-01-01,A4217,,"Sterile water/saline, 500 ml",OR (NR),DMEPOS_JAN.csv,4.38,4.38
4. DME,2025,2025-01-01,A4221,,Supp non-insulin inf cath/wk,OR (NR),DMEPOS_JAN.csv,25.19,25.19
4. DME,2025,2025-01-01,A4222,,Infusion supplies with pump,OR (NR),DMEPOS_JAN.csv,47.78,47.78
4. DME,2025,2025-01-01,A4224,,Supply insulin inf cath/wk,OR (NR),DMEPOS_JAN.csv,25.19,25.19
4. DME,2025,2025-01-01,A4225,,Sup/ext insulin inf pump syr,OR (NR),DMEPOS_JAN.csv,3.38,3.38
4. DME,2025,2025-01-01,A4233,,Alkalin batt for glucose mon,OR (NR),DMEPOS_JAN.csv,0.51,0.51
4. DME,2025,2025-01-01,A4234,,J-cell batt for glucose mon,OR (NR),DMEPOS_JAN.csv,2.36,2.36
4. DME,2025,2025-01-01,A4235,,Lithium batt for glucose mon,OR (NR),DMEPOS_JAN.csv,1.0,1.0
4. DME,2025,2025-01-01,A4236,,Silvr oxide batt glucose mon,OR (NR),DMEPOS_JAN.csv,1.16,1.16
4. DME,2025,2025-01-01,A4238,,Adju cgm supply allowance,OR (NR),DMEPOS_JAN.csv,275.21,275.21
4. DME,2025,2025-01-01,A4239,,Non-adju cgm supply allow,OR (NR),DMEPOS_JAN.csv,267.92,267.92
4. DME,2025,2025-01-01,A4239,,Non-adju cgm supply allow,OR (NR),DMEPOS_JAN.csv,311.74,311.74
4. DME,2025,2025-01-01,A4253,,Blood glucose/reagent strips,OR (NR),DMEPOS_JAN.csv,8.32,8.32
4. DME,2025,2025-01-01,A4255,,Glucose monitor platforms,OR (NR),DMEPOS_JAN.csv,5.74,5.74
4. DME,2025,2025-01-01,A4256,,Calibrator solution/chips,OR (NR),DMEPOS_JAN.csv,3.38,3.38
4. DME,2025,2025-01-01,A4257,,Replace lensshield cartridge,OR (NR),DMEPOS_JAN.csv,17.83,17.83
4. DME,2025,2025-01-01,A4258,,Lancet device each,OR (NR),DMEPOS_JAN.csv,2.12,2.12
4. DME,2025,2025-01-01,A4259,,Lancets per box,OR (NR),DMEPOS_JAN.csv,1.42,1.42
4. DME,2025,2025-01-01,A4265,,Paraffin,OR (NR),DMEPOS_JAN.csv,4.76,4.76
4. DME,2025,2025-01-01,A4271,,Home lancing/test cartridges,OR (NR),DMEPOS_JAN.csv,33.43,33.43
4. DME,2025,2025-01-01,A4280,,Brst prsths adhsv attchmnt,OR (NR),DMEPOS_JAN.csv,7.24,7.24
4. DME,2025,2025-01-01,A4310,,Insert tray w/o bag/cath,OR (NR),DMEPOS_JAN.csv,9.17,9.17
4. DME,2025,2025-01-01,A4311,,Catheter w/o bag 2-way latex,OR (NR),DMEPOS_JAN.csv,17.6,17.6
4. DME,2025,2025-01-01,A4312,,Cath w/o bag 2-way silicone,OR (NR),DMEPOS_JAN.csv,21.42,21.42
4. DME,2025,2025-01-01,A4313,,Catheter w/bag 3-way,OR (NR),DMEPOS_JAN.csv,22.0,22.0
4. DME,2025,2025-01-01,A4314,,Cath w/drainage 2-way latex,OR (NR),DMEPOS_JAN.csv,30.02,30.02
4. DME,2025,2025-01-01,A4315,,Cath w/drainage 2-way silcne,OR (NR),DMEPOS_JAN.csv,31.32,31.32
4. DME,2025,2025-01-01,A4316,,Cath w/drainage 3-way,OR (NR),DMEPOS_JAN.csv,33.73,33.73
4. DME,2025,2025-01-01,A4320,,Irrigation tray,OR (NR),DMEPOS_JAN.csv,7.46,7.46
4. DME,2025,2025-01-01,A4321,,Cath therapeutic irrig agent,OR (NR),DMEPOS_JAN.csv,0.0,0.0
4. DME,2025,2025-01-01,A4322,,Irrigation syringe,OR (NR),DMEPOS_JAN.csv,3.83,3.83
4. DME,2025,2025-01-01,A4326,,Male external catheter,OR (NR),DMEPOS_JAN.csv,14.49,14.49
4. DME,2025,2025-01-01,A4327,,Fem urinary collect dev cup,OR (NR),DMEPOS_JAN.csv,62.32,62.32
4. DME,2025,2025-01-01,A4328,,Fem urinary collect pouch,OR (NR),DMEPOS_JAN.csv,13.8,13.8
4. DME,2025,2025-01-01,A4330,,Stool collection pouch,OR (NR),DMEPOS_JAN.csv,9.68,9.68
4. DME,2025,2025-01-01,A4331,,Extension drainage tubing,OR (NR),DMEPOS_JAN.csv,4.44,4.44
4. DME,2025,2025-01-01,A4332,,Lube sterile packet,OR (NR),DMEPOS_JAN.csv,0.15,0.15
4. DME,2025,2025-01-01,A4333,,Urinary cath anchor device,OR (NR),DMEPOS_JAN.csv,3.1,3.1
4. DME,2025,2025-01-01,A4334,,Urinary cath leg strap,OR (NR),DMEPOS_JAN.csv,6.87,6.87
4. DME,2025,2025-01-01,A4336,,Urethral insert,OR (NR),DMEPOS_JAN.csv,2.01,2.01
4. DME,2025,2025-01-01,A4338,,Indwelling catheter latex,OR (NR),DMEPOS_JAN.csv,17.14,17.14
4. DME,2025,2025-01-01,A4340,,Indwelling catheter special,OR (NR),DMEPOS_JAN.csv,44.36,44.36
4. DME,2025,2025-01-01,A4341,,Iduc valve pat inst repl,OR (NR),DMEPOS_JAN.csv,340.93,340.93
4. DME,2025,2025-01-01,A4342,,Iduc valve sply repl,OR (NR),DMEPOS_JAN.csv,860.84,860.84
4. DME,2025,2025-01-01,A4344,,Cath indw foley 2 way silicn,OR (NR),DMEPOS_JAN.csv,22.36,22.36
4. DME,2025,2025-01-01,A4346,,Cath indw foley 3 way,OR (NR),DMEPOS_JAN.csv,27.36,27.36
4. DME,2025,2025-01-01,A4349,,Disposable male external cat,OR (NR),DMEPOS_JAN.csv,2.81,2.81
4. DME,2025,2025-01-01,A4351,,Straight tip urine catheter,OR (NR),DMEPOS_JAN.csv,2.53,2.53
4. DME,2025,2025-01-01,A4352,,Coude tip urinary catheter,OR (NR),DMEPOS_JAN.csv,8.97,8.97
4. DME,2025,2025-01-01,A4353,,Intermittent urinary cath,OR (NR),DMEPOS_JAN.csv,9.79,9.79
4. DME,2025,2025-01-01,A4354,,Cath insertion tray w/bag,OR (NR),DMEPOS_JAN.csv,14.03,14.03
4. DME,2025,2025-01-01,A4355,,Bladder irrigation tubing,OR (NR),DMEPOS_JAN.csv,12.46,12.46
4. DME,2025,2025-01-01,A4356,,Ext ureth clmp or compr dvc,OR (NR),DMEPOS_JAN.csv,59.29,59.29
4. DME,2025,2025-01-01,A4357,,Bedside drainage bag,OR (NR),DMEPOS_JAN.csv,13.57,13.57
4. DME,2025,2025-01-01,A4358,,Urinary leg or abdomen bag,OR (NR),DMEPOS_JAN.csv,8.16,8.16
4. DME,2025,2025-01-01,A4360,,Disposable ext urethral dev,OR (NR),DMEPOS_JAN.csv,0.62,0.62
4. DME,2025,2025-01-01,A4361,,Ostomy face plate,OR (NR),DMEPOS_JAN.csv,25.65,25.65
4. DME,2025,2025-01-01,A4362,,Solid skin barrier,OR (NR),DMEPOS_JAN.csv,4.12,4.12
4. DME,2025,2025-01-01,A4363,,"Ostomy clamp, replacement",OR (NR),DMEPOS_JAN.csv,3.31,3.31
4. DME,2025,2025-01-01,A4364,,"Adhesive, liquid or equal",OR (NR),DMEPOS_JAN.csv,4.11,4.11
4. DME,2025,2025-01-01,A4366,,Ostomy vent,OR (NR),DMEPOS_JAN.csv,1.8,1.8
4. DME,2025,2025-01-01,A4367,,Ostomy belt,OR (NR),DMEPOS_JAN.csv,10.28,10.28
4. DME,2025,2025-01-01,A4368,,Ostomy filter,OR (NR),DMEPOS_JAN.csv,0.35,0.35
4. DME,2025,2025-01-01,A4369,,Skin barrier liquid per oz,OR (NR),DMEPOS_JAN.csv,2.88,2.88
4. DME,2025,2025-01-01,A4371,,Skin barrier powder per oz,OR (NR),DMEPOS_JAN.csv,5.02,5.02
4. DME,2025,2025-01-01,A4372,,Skin barrier solid 4x4 equiv,OR (NR),DMEPOS_JAN.csv,5.87,5.87
4. DME,2025,2025-01-01,A4373,,Skin barrier with flange,OR (NR),DMEPOS_JAN.csv,8.76,8.76
4. DME,2025,2025-01-01,A4375,,Drainable plastic pch w fcpl,OR (NR),DMEPOS_JAN.csv,23.99,23.99
4. DME,2025,2025-01-01,A4376,,Drainable rubber pch w fcplt,OR (NR),DMEPOS_JAN.csv,66.48,66.48
4. DME,2025,2025-01-01,A4377,,Drainable plstic pch w/o fp,OR (NR),DMEPOS_JAN.csv,5.99,5.99
4. DME,2025,2025-01-01,A4378,,Drainable rubber pch w/o fp,OR (NR),DMEPOS_JAN.csv,42.96,42.96
4. DME,2025,2025-01-01,A4379,,Urinary plastic pouch w fcpl,OR (NR),DMEPOS_JAN.csv,20.98,20.98
4. DME,2025,2025-01-01,A4380,,Urinary rubber pouch w fcplt,OR (NR),DMEPOS_JAN.csv,52.16,52.16
4. DME,2025,2025-01-01,A4381,,Urinary plastic pouch w/o fp,OR (NR),DMEPOS_JAN.csv,6.46,6.46
4. DME,2025,2025-01-01,A4382,,Urinary hvy plstc pch w/o fp,OR (NR),DMEPOS_JAN.csv,34.4,34.4
4. DME,2025,2025-01-01,A4383,,Urinary rubber pouch w/o fp,OR (NR),DMEPOS_JAN.csv,39.38,39.38
4. DME,2025,2025-01-01,A4384,,Ostomy faceplt/silicone ring,OR (NR),DMEPOS_JAN.csv,13.42,13.42
4. DME,2025,2025-01-01,A4385,,Ost skn barrier sld ext wear,OR (NR),DMEPOS_JAN.csv,7.12,7.12
4. DME,2025,2025-01-01,A4387,,Ost clsd pouch w att st barr,OR (NR),DMEPOS_JAN.csv,3.14,3.14
4. DME,2025,2025-01-01,A4388,,Drainable pch w ex wear barr,OR (NR),DMEPOS_JAN.csv,6.09,6.09
4. DME,2025,2025-01-01,A4389,,Drainable pch w st wear barr,OR (NR),DMEPOS_JAN.csv,8.67,8.67
4. DME,2025,2025-01-01,A4390,,Drainable pch ex wear convex,OR (NR),DMEPOS_JAN.csv,13.41,13.41
4. DME,2025,2025-01-01,A4391,,Urinary pouch w ex wear barr,OR (NR),DMEPOS_JAN.csv,9.87,9.87
4. DME,2025,2025-01-01,A4392,,Urinary pouch w st wear barr,OR (NR),DMEPOS_JAN.csv,11.42,11.42
4. DME,2025,2025-01-01,A4393,,Urine pch w ex wear bar conv,OR (NR),DMEPOS_JAN.csv,12.63,12.63
4. DME,2025,2025-01-01,A4394,,Ostomy pouch liq deodorant,OR (NR),DMEPOS_JAN.csv,3.62,3.62
4. DME,2025,2025-01-01,A4395,,Ostomy pouch solid deodorant,OR (NR),DMEPOS_JAN.csv,0.05,0.05
4. DME,2025,2025-01-01,A4396,,Peristomal hernia supprt blt,OR (NR),DMEPOS_JAN.csv,56.56,56.56
