CMS SCHEDULE,YEAR,HCPCS,GEOGRAPHY,MOD,EFF_DATE,SHORTDESC,FILE_NAME,NF RATE,F RATE
3. LAB,2025,0001U,NATIONAL,,2025-01-01,Rbc dna hea 35 ag 11 bld grp,CLFS 2025 Q1V1.csv,720.0,720.0
3. LAB,2025,0002M,NATIONAL,,2025-01-01,Liver dis 10 assays w/ash,CLFS 2025 Q1V1.csv,503.4,503.4
3. LAB,2025,0002U,NATIONAL,,2025-01-01,Onc clrct 3 ur metab alg plp,CLFS 2025 Q1V1.csv,25.0,25.0
3. LAB,2025,0003M,NATIONAL,,2025-01-01,Liver dis 10 assays w/nash,CLFS 2025 Q1V1.csv,503.4,503.4
3. LAB,2025,0003U,NATIONAL,,2025-01-01,Onc ovar 5 prtn ser alg scor,CLFS 2025 Q1V1.csv,950.0,950.0
3. LAB,2025,0004M,NATIONAL,,2025-01-01,Scoliosis dna alys,CLFS 2025 Q1V1.csv,79.0,79.0
3. LAB,2025,0005U,NATIONAL,,2025-01-01,Onco prst8 3 gene ur alg,CLFS 2025 Q1V1.csv,760.0,760.0
3. LAB,2025,0006M,NATIONAL,,2025-01-01,Onc hep gene risk classifier,CLFS 2025 Q1V1.csv,150.0,150.0
3. LAB,2025,0007M,NATIONAL,,2025-01-01,Onc gastro 51 gene nomogram,CLFS 2025 Q1V1.csv,375.0,375.0
3. LAB,2025,0007U,NATIONAL,,2025-01-01,Rx test prsmv ur w/def conf,CLFS 2025 Q1V1.csv,114.43,114.43
3. LAB,2025,0008U,NATIONAL,,2025-01-01,Hpylori detcj abx rstnc dna,CLFS 2025 Q1V1.csv,597.91,597.91
3. LAB,2025,0009U,NATIONAL,,2025-01-01,Onc brst ca erbb2 amp/nonamp,CLFS 2025 Q1V1.csv,107.0,107.0
3. LAB,2025,0010U,NATIONAL,,2025-01-01,Nfct ds strn typ whl gen seq,CLFS 2025 Q1V1.csv,427.26,427.26
3. LAB,2025,0011M,NATIONAL,,2025-01-01,Onc prst8 ca mrna 12 gen alg,CLFS 2025 Q1V1.csv,760.0,760.0
3. LAB,2025,0011U,NATIONAL,,2025-01-01,Rx mntr lc-ms/ms oral fluid,CLFS 2025 Q1V1.csv,114.43,114.43
3. LAB,2025,0012M,NATIONAL,,2025-01-01,Onc mrna 5 gen rsk urthl ca,CLFS 2025 Q1V1.csv,760.0,760.0
3. LAB,2025,0013M,NATIONAL,,2025-01-01,Onc mrna 5 gen recr urthl ca,CLFS 2025 Q1V1.csv,760.0,760.0
3. LAB,2025,0015M,NATIONAL,,2025-01-01,Adrnl cortcl tum bchm asy 25,CLFS 2025 Q1V1.csv,1305.37,1305.37
3. LAB,2025,0016M,NATIONAL,,2025-01-01,Onc bladder mrna 219 gen alg,CLFS 2025 Q1V1.csv,3489.63,3489.63
3. LAB,2025,0016U,NATIONAL,,2025-01-01,Onc hmtlmf neo rna bcr/abl1,CLFS 2025 Q1V1.csv,163.96,163.96
3. LAB,2025,0017M,NATIONAL,,2025-01-01,Onc dlbcl mrna 20 genes alg,CLFS 2025 Q1V1.csv,2510.21,2510.21
3. LAB,2025,0017U,NATIONAL,,2025-01-01,Onc hmtlmf neo jak2 mut dna,CLFS 2025 Q1V1.csv,91.66,91.66
3. LAB,2025,0018M,NATIONAL,,2025-01-01,Trnsplj rnl meas cd154+cll,CLFS 2025 Q1V1.csv,640.73,640.73
3. LAB,2025,0018U,NATIONAL,,2025-01-01,Onc thyr 10 microrna seq alg,CLFS 2025 Q1V1.csv,3002.09,3002.09
3. LAB,2025,0019M,NATIONAL,,2025-01-01,Cv ds plasma alys prtn bmrk,CLFS 2025 Q1V1.csv,712.4,712.4
3. LAB,2025,0019U,NATIONAL,,2025-01-01,Onc rna tiss predict alg,CLFS 2025 Q1V1.csv,3675.0,3675.0
3. LAB,2025,0020M,NATIONAL,,2025-01-01,Onc cns alys 30000 dna loci,CLFS 2025 Q1V1.csv,0.0,0.0
3. LAB,2025,0021U,NATIONAL,,2025-01-01,Onc prst8 detcj 8 autoantb,CLFS 2025 Q1V1.csv,760.0,760.0
3. LAB,2025,0022U,NATIONAL,,2025-01-01,Tgsap nsm lung neo dna&rna23,CLFS 2025 Q1V1.csv,1950.0,1950.0
3. LAB,2025,0023U,NATIONAL,,2025-01-01,Onc aml dna detcj/nondetcj,CLFS 2025 Q1V1.csv,248.51,248.51
3. LAB,2025,0024U,NATIONAL,,2025-01-01,Glyca nuc mr spectrsc quan,CLFS 2025 Q1V1.csv,34.19,34.19
3. LAB,2025,0025U,NATIONAL,,2025-01-01,Tenofovir liq chrom ur quan,CLFS 2025 Q1V1.csv,114.43,114.43
3. LAB,2025,0026U,NATIONAL,,2025-01-01,Onc thyr dna&mrna 112 genes,CLFS 2025 Q1V1.csv,3600.0,3600.0
3. LAB,2025,0027U,NATIONAL,,2025-01-01,Jak2 gene trgt seq alys,CLFS 2025 Q1V1.csv,121.91,121.91
3. LAB,2025,0029U,NATIONAL,,2025-01-01,Rx metab advrs trgt seq alys,CLFS 2025 Q1V1.csv,742.27,742.27
3. LAB,2025,0030U,NATIONAL,,2025-01-01,Rx metab warf trgt seq alys,CLFS 2025 Q1V1.csv,134.13,134.13
3. LAB,2025,0031U,NATIONAL,,2025-01-01,Cyp1a2 gene,CLFS 2025 Q1V1.csv,174.81,174.81
3. LAB,2025,0032U,NATIONAL,,2025-01-01,Comt gene,CLFS 2025 Q1V1.csv,174.81,174.81
3. LAB,2025,0033U,NATIONAL,,2025-01-01,Htr2a htr2c genes,CLFS 2025 Q1V1.csv,349.62,349.62
3. LAB,2025,0034U,NATIONAL,,2025-01-01,Tpmt nudt15 genes,CLFS 2025 Q1V1.csv,466.17,466.17
3. LAB,2025,0035U,NATIONAL,,2025-01-01,Neuro csf prion prtn qual,CLFS 2025 Q1V1.csv,540.99,540.99
3. LAB,2025,0036U,NATIONAL,,2025-01-01,Xome tum & nml spec seq alys,CLFS 2025 Q1V1.csv,4780.0,4780.0
3. LAB,2025,0037U,NATIONAL,,2025-01-01,Trgt gen seq dna 324 genes,CLFS 2025 Q1V1.csv,3500.0,3500.0
3. LAB,2025,0038U,NATIONAL,,2025-01-01,Vitamin d srm microsamp quan,CLFS 2025 Q1V1.csv,29.6,29.6
3. LAB,2025,0039U,NATIONAL,,2025-01-01,Dna antb 2strand hi avidity,CLFS 2025 Q1V1.csv,13.74,13.74
3. LAB,2025,0040U,NATIONAL,,2025-01-01,Bcr/abl1 gene major bp quan,CLFS 2025 Q1V1.csv,409.9,409.9
3. LAB,2025,0041U,NATIONAL,,2025-01-01,B brgdrferi antb 5 prtn igm,CLFS 2025 Q1V1.csv,17.21,17.21
3. LAB,2025,0042U,NATIONAL,,2025-01-01,B brgdrferi antb 12 prtn igg,CLFS 2025 Q1V1.csv,17.21,17.21
3. LAB,2025,0043U,NATIONAL,,2025-01-01,Tbrf b grp antb 4 prtn igm,CLFS 2025 Q1V1.csv,14.86,14.86
3. LAB,2025,0044U,NATIONAL,,2025-01-01,Tbrf b grp antb 4 prtn igg,CLFS 2025 Q1V1.csv,14.86,14.86
3. LAB,2025,0045U,NATIONAL,,2025-01-01,Onc brst dux carc is 12 gene,CLFS 2025 Q1V1.csv,3873.0,3873.0
3. LAB,2025,0046U,NATIONAL,,2025-01-01,Flt3 gene itd variants quan,CLFS 2025 Q1V1.csv,407.43,407.43
3. LAB,2025,0047U,NATIONAL,,2025-01-01,Onc prst8 mrna 17 gene alg,CLFS 2025 Q1V1.csv,3873.0,3873.0
3. LAB,2025,0048U,NATIONAL,,2025-01-01,Onc sld org neo dna 468 gene,CLFS 2025 Q1V1.csv,2919.6,2919.6
3. LAB,2025,0049U,NATIONAL,,2025-01-01,Npm1 gene analysis quan,CLFS 2025 Q1V1.csv,407.43,407.43
3. LAB,2025,0050U,NATIONAL,,2025-01-01,Trgt gen seq dna 194 genes,CLFS 2025 Q1V1.csv,2916.6,2916.6
3. LAB,2025,0051U,NATIONAL,,2025-01-01,Rx mntr lc-ms/ms ur/bld 31,CLFS 2025 Q1V1.csv,246.92,246.92
3. LAB,2025,0052U,NATIONAL,,2025-01-01,Lpoprtn bld w/5 maj classes,CLFS 2025 Q1V1.csv,33.86,33.86
3. LAB,2025,0054U,NATIONAL,,2025-01-01,Rx mntr 14+ drugs & sbsts,CLFS 2025 Q1V1.csv,198.74,198.74
3. LAB,2025,0055U,NATIONAL,,2025-01-01,Card hrt trnspl 96 dna seq,CLFS 2025 Q1V1.csv,3240.0,3240.0
3. LAB,2025,0058U,NATIONAL,,2025-01-01,Onc merkel cll carc srm quan,CLFS 2025 Q1V1.csv,322.96,322.96
3. LAB,2025,0059U,NATIONAL,,2025-01-01,Onc merkel cll carc srm +/-,CLFS 2025 Q1V1.csv,322.96,322.96
3. LAB,2025,0060U,NATIONAL,,2025-01-01,Twn zyg gen seq alys chrms2,CLFS 2025 Q1V1.csv,759.05,759.05
3. LAB,2025,0061U,NATIONAL,,2025-01-01,Tc meas 5 bmrk sfdi m-s alys,CLFS 2025 Q1V1.csv,25.1,25.1
3. LAB,2025,0062U,NATIONAL,,2025-01-01,Ai sle igg&igm alys 80 bmrk,CLFS 2025 Q1V1.csv,380.72,380.72
