CMS SCHEDULE,YEAR,EFF_DATE,GEOGRAPHY,HCPCS,MOD,SHORTDESC,WORK RVU,NON-FAC PE RVU,FACILITY PE RVU,MP RVU,PW GPCI,PE GPCI,MP GPCI,CONV FACTOR,FILE_NAME,NF RVUS,F RVUS,NF RATE,F RATE
1. PFS,2025,2025-01-01,NATIONAL,G0011,,"Hiv prep counsel, md 15-30m",0.45,0.33,0.25,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.8200000000000001,0.74,26.52413,23.93641
1. PFS,2025,2025-01-01,NATIONAL,G0012,,Injection of hiv prep drug,0.17,0.25,0.25,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.43000000000000005,0.43000000000000005,13.908995,13.908995
1. PFS,2025,2025-01-01,NATIONAL,G0013,,"Hiv prep counsel, clin staff",0.18,0.51,0.07,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.7,0.26,22.642549999999996,8.41009
1. PFS,2025,2025-01-01,NATIONAL,G0017,,Crisis psychotherapy 60m,4.7,1.58,0.75,0.15,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,6.430000000000001,5.6000000000000005,207.987995,181.1404
1. PFS,2025,2025-01-01,NATIONAL,G0018,,Crisis psychotherapy add 30m,2.25,0.82,0.45,0.09,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.1599999999999997,2.79,102.21493999999998,90.246735
1. PFS,2025,2025-01-01,NATIONAL,G0019,,Comm hlth intg svs sdoh 60mn,1.0,1.35,0.41,0.06,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.41,1.47,77.955065,47.549355
1. PFS,2025,2025-01-01,NATIONAL,G0022,,Comm hlth intg svs add 30 m,0.7,0.76,0.29,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.5,1.03,48.51975,33.316895
1. PFS,2025,2025-01-01,NATIONAL,G0023,,Pin service 60m per month,1.0,1.35,0.41,0.06,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.41,1.47,77.955065,47.549355
1. PFS,2025,2025-01-01,NATIONAL,G0024,,Pin srv add 30 min pr m,0.7,0.76,0.29,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.5,1.03,48.51975,33.316895
1. PFS,2025,2025-01-01,NATIONAL,G0071,,Comm svcs by rhc/fqhc 5 min,0.24,0.18,0.18,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.43,0.43,13.908994999999999,13.908994999999999
1. PFS,2025,2025-01-01,NATIONAL,G0076,,Care manag h vst new pt 20 m,1.01,0.43,0.43,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.48,1.48,47.87282,47.87282
1. PFS,2025,2025-01-01,NATIONAL,G0077,,Care manag h vst new pt 30 m,1.52,0.62,0.62,0.07,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.21,2.21,71.485765,71.485765
1. PFS,2025,2025-01-01,NATIONAL,G0078,,Care manag h vst new pt 45 m,2.53,0.96,0.96,0.12,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.61,3.61,116.77086499999999,116.77086499999999
1. PFS,2025,2025-01-01,NATIONAL,G0079,,Care manag h vst new pt 60 m,3.38,1.2,1.2,0.16,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,4.74,4.74,153.32241,153.32241
1. PFS,2025,2025-01-01,NATIONAL,G0080,,Care manag h vst new pt 75 m,4.09,1.86,1.86,0.25,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,6.2,6.2,200.5483,200.5483
1. PFS,2025,2025-01-01,NATIONAL,G0081,,Care man h v ext pt 20 mi,1.0,0.41,0.41,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.45,1.45,46.902424999999994,46.902424999999994
1. PFS,2025,2025-01-01,NATIONAL,G0082,,Care man h v ext pt 30 m,1.56,0.71,0.71,0.08,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.35,2.35,76.014275,76.014275
1. PFS,2025,2025-01-01,NATIONAL,G0083,,Care man h v ext pt 45 m,2.33,1.19,1.19,0.16,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.68,3.68,119.03512,119.03512
1. PFS,2025,2025-01-01,NATIONAL,G0084,,Care man h v ext pt 60 m,3.28,1.67,1.67,0.23,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,5.18,5.18,167.55487,167.55487
1. PFS,2025,2025-01-01,NATIONAL,G0085,,Care man h v ext pt 75 m,4.09,1.86,1.86,0.25,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,6.2,6.2,200.5483,200.5483
1. PFS,2025,2025-01-01,NATIONAL,G0086,,Care man home care plan 30 m,1.25,0.87,0.87,0.1,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,2.22,2.22,71.80923,71.80923
1. PFS,2025,2025-01-01,NATIONAL,G0087,,Care man home care plan 60 m,1.8,1.17,1.17,0.14,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,3.11,3.11,100.59761499999999,100.59761499999999
1. PFS,2025,2025-01-01,NATIONAL,G0101,,Ca screen;pelvic/breast exam,0.45,0.66,0.3,0.06,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.1700000000000002,0.81,37.84540500000001,26.200665
1. PFS,2025,2025-01-01,NATIONAL,G0102,,Prostate ca screening; dre,0.18,0.51,0.07,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.7,0.26,22.642549999999996,8.41009
1. PFS,2025,2025-01-01,NATIONAL,G0104,,Ca screen;flexi sigmoidscope,0.84,4.6,0.74,0.12,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,5.56,1.7000000000000002,179.84653999999998,54.989050000000006
1. PFS,2025,2025-01-01,NATIONAL,G0105,,Colorectal scrn; hi risk ind,3.26,6.44,1.79,0.43,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,10.129999999999999,5.4799999999999995,327.67004499999996,177.25882
1. PFS,2025,2025-01-01,NATIONAL,G0105,53,Colorectal scrn; hi risk ind,1.63,3.22,0.9,0.21,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,5.06,2.7399999999999998,163.67328999999998,88.62941
1. PFS,2025,2025-01-01,NATIONAL,G0108,,Diab manage trn  per indiv,0.9,0.7,0.7,0.04,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.6400000000000001,1.6400000000000001,53.04826,53.04826
1. PFS,2025,2025-01-01,NATIONAL,G0109,,Diab manage trn ind/group,0.25,0.21,0.21,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.47,0.47,15.202854999999998,15.202854999999998
1. PFS,2025,2025-01-01,NATIONAL,G0117,,Glaucoma scrn hgh risk direc,0.45,1.42,1.42,0.02,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.89,1.89,61.134885,61.134885
1. PFS,2025,2025-01-01,NATIONAL,G0118,,Glaucoma scrn hgh risk direc,0.17,1.06,1.06,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.24,1.24,40.10966,40.10966
1. PFS,2025,2025-01-01,NATIONAL,G0121,,Colon ca scrn not hi rsk ind,3.26,6.44,1.79,0.44,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,10.139999999999999,5.49,327.99350999999996,177.582285
1. PFS,2025,2025-01-01,NATIONAL,G0121,53,Colon ca scrn not hi rsk ind,1.63,3.22,0.9,0.22,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,5.069999999999999,2.75,163.99675499999998,88.95287499999999
1. PFS,2025,2025-01-01,NATIONAL,G0124,,Screen c/v thin layer by md,0.26,0.48,0.48,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.75,0.75,24.259875,24.259875
1. PFS,2025,2025-01-01,NATIONAL,G0127,,Trim nail(s),0.17,0.54,0.04,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.7200000000000001,0.22000000000000003,23.28948,7.116230000000001
1. PFS,2025,2025-01-01,NATIONAL,G0128,,Corf skilled nursing service,0.0,0.28,0.28,0.01,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,0.29000000000000004,0.29000000000000004,9.380485,9.380485
1. PFS,2025,2025-01-01,NATIONAL,G0130,,Single energy x-ray study,0.22,0.9,0.9,0.02,1.0,1.0,1.0,32.3465,rvu25a-updated-01_10_2025.zip,1.1400000000000001,1.1400000000000001,36.87501,36.87501
